levelName,carW,carH,totalSeatCount,genSeatCount,genColorCount,seatArray
level_1,3,5,15,3,1,3.5.2_2_2_2_0_0_0_0_0_0_0_0_0_0_0
level_2,3,5,15,4,1,3.5.0_0_2_2_0_0_2_0_2_2_0_0_0_0_0
level_3,3,5,15,5,1,3.5.2_2_2_0_0_0_0_2_0_0_0_0_0_2_2
level_4,3,5,15,8,1,3.5.2_0_2_2_0_2_2_0_2_2_0_2_0_0_2
level_5,3,5,15,8,2,3.5.0_0_3_0_3_2_0_2_3_0_3_2_0_3_3
level_6,3,5,15,8,2,3.5.2_2_3_2_3_0_2_2_0_0_0_0_0_3_3
level_7,4,5,20,10,2,4.5.3_0_3_3_3_3_3_0_0_3_0_0_3_3_0_3_0_0_0_3
level_8,4,5,20,10,2,4.5.3_0_0_3_2_0_3_3_3_0_2_3_0_0_0_3_0_0_3_2
level_9,4,5,20,10,2,4.5.3_2_0_2_3_0_0_3_2_0_3_3_3_0_0_3_0_0_0_3
level_10,4,5,20,13,2,4.5.3_2_3_3_3_3_3_0_3_2_0_0_0_0_0_3_0_3_3_3
level_11,4,6,24,15,2,4.6.3_0_0_3_2_0_2_0_3_0_2_3_3_0_3_2_2_0_3_3_0_0_2_2
level_12,4,6,24,15,2,4.6.3_3_3_2_3_3_0_0_2_3_0_2_3_3_0_3_0_0_0_3_0_3_3_0
level_13,4,6,24,15,3,4.6.4_3_2_3_2_4_4_0_2_2_3_0_0_0_0_0_0_2_2_3_0_4_4_2
level_14,4,6,24,15,3,4.6.3_4_0_3_3_0_0_4_3_0_4_4_0_0_3_4_0_2_3_3_0_4_4_4
level_15,4,6,24,15,3,4.6.3_2_3_4_3_2_0_0_3_3_0_3_2_3_0_2_3_2_0_3_0_0_0_2
level_16,4,6,24,15,3,4.6.2_3_0_4_3_0_0_4_4_0_3_4_3_0_3_4_0_0_3_4_0_4_2_4
level_17,4,6,24,15,3,4.6.4_4_2_2_4_4_2_0_2_2_4_0_4_4_4_0_0_0_0_0_0_2_2_4
level_18,4,6,24,15,3,4.6.4_3_4_2_3_0_0_0_3_0_4_3_0_0_4_4_0_3_4_3_0_3_3_3
level_19,4,6,24,16,3,4.6.3_4_3_3_4_3_0_0_4_2_0_2_2_3_0_4_0_0_0_2_0_2_2_2
level_20,4,6,24,16,3,4.6.2_4_3_3_4_3_4_0_3_3_3_0_4_3_3_0_0_0_0_0_0_3_4_3
level_21,5,7,35,17,3,5.7.2_2_0_0_2_2_2_0_2_0_0_4_0_0_0_0_2_0_2_0_0_0_0_4_2_0_0_2_2_0_0_2_3_0_2
level_22,5,7,35,17,3,5.7.0_2_2_0_2_2_3_2_0_4_0_0_0_0_0_2_0_2_0_3_0_0_0_3_0_3_0_0_3_0_0_0_2_2_2
level_23,5,7,35,17,3,5.7.3_4_0_4_4_0_3_4_0_0_2_4_4_0_4_0_0_0_0_4_0_2_3_0_0_0_0_4_0_3_0_0_0_0_2
level_24,5,7,35,17,3,5.7.0_3_3_0_2_4_3_4_0_4_0_0_0_0_3_3_0_4_4_0_4_0_3_0_3_0_0_0_0_4_0_0_0_0_3
level_25,5,7,35,17,3,5.7.0_2_2_0_4_3_0_2_0_2_0_4_0_0_4_0_0_0_2_4_0_0_4_2_0_0_2_0_0_4_0_4_0_0_4
level_26,5,7,35,17,4,5.7.3_4_3_0_2_0_4_0_0_0_0_0_0_4_4_4_0_2_4_0_0_0_5_0_2_0_0_4_3_3_0_0_0_4_4
level_27,5,7,35,17,4,5.7.5_0_0_0_3_3_0_2_0_0_0_5_5_0_2_3_0_2_0_5_2_3_2_0_2_2_0_0_0_5_0_0_0_4_0
level_28,5,7,35,17,4,5.7.5_5_0_0_4_0_2_5_0_2_0_3_0_0_3_0_4_0_0_2_4_3_0_3_0_0_5_0_5_3_0_0_0_0_3
level_29,5,7,35,17,4,5.7.0_2_0_2_4_4_0_2_0_0_0_0_0_0_4_0_4_4_2_2_0_0_4_0_2_0_0_4_0_0_0_5_2_2_3
level_30,5,8,40,20,4,5.8.4_3_4_5_2_3_5_4_0_0_0_4_5_4_0_0_4_5_2_0_4_0_4_4_0_0_0_0_0_0_5_2_2_0_0_0_0_0_0_4
level_31,5,8,40,20,4,5.8.5_4_5_4_4_2_5_4_2_0_3_3_2_0_0_0_0_0_0_0_0_0_0_5_3_0_5_0_2_4_0_0_2_2_0_0_2_0_5_0
level_32,5,8,40,24,4,5.8.5_3_5_0_3_5_5_0_0_3_2_2_0_3_3_0_3_0_3_3_3_4_0_3_5_2_4_0_0_2_0_0_0_5_5_0_0_2_2_0
level_33,5,8,40,26,4,5.8.3_4_4_3_3_0_5_0_0_0_5_4_0_4_5_4_4_0_4_4_0_2_0_2_0_4_5_0_5_0_0_0_0_5_2_0_4_5_5_5
level_34,5,8,40,26,4,5.8.0_4_5_5_2_5_0_0_0_0_5_0_3_5_5_0_0_5_5_5_0_4_5_5_5_0_2_0_2_2_0_0_2_4_0_0_5_4_5_5
level_35,5,8,40,26,4,5.8.2_5_5_4_4_2_0_2_2_0_2_3_4_2_0_3_2_3_0_0_3_5_2_5_0_0_0_0_0_0_0_4_5_0_0_0_3_2_3_3
level_36,6,8,48,24,4,6.8.2_2_0_2_0_3_0_2_3_0_0_4_3_0_3_2_0_0_3_4_2_0_0_5_0_4_5_0_0_0_2_4_2_4_0_0_2_3_0_4_0_2_0_0_0_0_0_2
level_37,6,8,48,24,4,6.8.5_0_0_3_0_4_3_0_5_0_0_2_2_5_0_0_0_0_0_2_3_0_2_4_2_2_2_0_3_4_0_2_0_0_3_3_4_3_2_0_0_0_0_0_0_0_4_3
level_38,6,8,48,24,4,6.8.4_4_0_5_0_4_2_0_2_0_0_0_0_0_0_0_2_0_5_3_0_0_0_4_0_0_0_0_2_5_5_0_5_5_3_4_2_0_4_5_4_3_0_0_0_5_4_3
level_39,6,8,48,32,4,6.8.3_5_3_4_0_5_3_2_4_0_0_2_2_3_2_0_3_0_2_3_0_0_4_2_5_3_4_0_2_0_2_2_3_0_3_2_2_2_3_0_5_2_0_0_0_0_4_5
level_40,6,8,48,32,4,
level_41,6,8,48,32,4,
level_42,6,8,48,32,4,
level_43,6,8,48,32,4,
level_44,6,8,48,32,5,
level_45,6,8,48,32,5,
level_46,6,8,48,36,5,
level_47,6,8,48,36,5,
level_48,6,8,48,30,5,
level_49,6,8,48,30,5,
level_50,6,9,54,30,5,
level_51,6,9,54,30,5,
level_52,6,9,54,35,5,
level_53,6,9,54,35,5,
level_54,6,9,54,35,5,
level_55,6,9,54,35,5,
level_56,6,9,54,40,5,
level_57,6,9,54,40,5,
level_58,6,9,54,40,5,
level_59,6,9,54,40,5,
level_60,6,9,54,40,5,
level_61,6,9,54,40,6,
level_62,6,9,54,40,6,
level_63,6,9,54,40,6,
level_64,6,9,54,40,6,
