levelName,carW,carH,totalSeatCount,genSeatCount,genColorCount,seatArray
level_1,3,5,15,3,1,
level_2,3,5,15,4,1,
level_3,3,5,15,5,1,
level_4,3,5,15,8,1,
level_5,3,5,15,8,2,
level_6,3,5,15,8,2,
level_7,4,5,20,10,2,
level_8,4,5,20,10,2,
level_9,4,5,20,10,2,
level_10,4,5,20,13,2,
level_11,4,6,24,15,2,
level_12,4,6,24,15,2,
level_13,4,6,24,15,3,
level_14,4,6,24,15,3,
level_15,4,6,24,15,3,
level_16,4,6,24,15,3,
level_17,4,6,24,15,3,
level_18,4,6,24,15,3,
level_19,4,6,24,16,3,
level_20,4,6,24,16,3,
level_21,5,7,35,17,3,
level_22,5,7,35,17,3,
level_23,5,7,35,17,3,
level_24,5,7,35,17,3,
level_25,5,7,35,17,3,
level_26,5,7,35,17,4,
level_27,5,7,35,17,4,
level_28,5,7,35,17,4,
level_29,5,7,35,17,4,
level_30,5,8,40,20,4,
level_31,5,8,40,20,4,
level_32,5,8,40,24,4,
level_33,5,8,40,26,4,
level_34,5,8,40,26,4,
level_35,5,8,40,26,4,
level_36,6,8,48,24,4,
level_37,6,8,48,24,4,
level_38,6,8,48,24,4,
level_39,6,8,48,32,4,
level_40,6,8,48,32,4,
level_41,6,8,48,32,4,
level_42,6,9,54,32,4,
level_43,6,9,54,32,4,
level_44,6,9,54,32,4,
level_45,6,9,54,32,4,
level_46,6,9,54,36,4,
level_47,6,9,54,36,4,
level_48,6,10,60,30,4,
level_49,6,10,60,30,4,
level_50,6,10,60,30,4,
level_51,6,10,60,30,5,
level_52,6,10,60,35,5,
level_53,6,10,60,35,5,
level_54,6,10,60,35,5,
level_55,6,10,60,35,5,
level_56,7,11,77,38,5,
level_57,7,11,77,38,5,
level_58,7,11,77,38,5,
level_59,7,11,77,38,5,
level_60,7,11,77,38,5,
level_61,7,11,77,38,6,
level_62,7,11,77,38,6,
level_63,7,11,77,38,6,
level_64,7,11,77,38,6,
level_65,7,11,77,38,6,
level_66,7,11,77,38,6,
level_67,7,11,77,38,6,
level_68,7,11,77,42,6,
level_69,7,11,77,42,6,
level_70,7,11,77,42,6,
level_71,7,11,77,42,6,
level_72,7,11,77,42,6,
level_73,7,11,77,42,6,
level_74,7,11,77,42,6,
level_75,7,11,77,42,6,
level_76,7,11,77,42,6,
level_77,7,13,91,45,6,
level_78,7,13,91,45,6,
level_79,7,13,91,45,6,
level_80,7,13,91,45,6,
level_81,7,13,91,45,7,
level_82,7,13,91,45,7,
level_83,7,13,91,45,7,
level_84,7,13,91,50,7,
level_85,7,13,91,50,7,
level_86,7,13,91,50,7,
level_87,7,13,91,50,7,
level_88,7,13,91,50,7,
level_89,7,13,91,50,7,
level_90,7,13,91,50,7,
level_91,8,15,120,60,7,
level_92,8,15,120,60,7,
level_93,8,15,120,70,7,
level_94,8,15,120,70,8,
level_95,8,15,120,70,8,
level_96,8,15,120,70,8,
level_97,8,15,120,70,8,
level_98,8,15,120,80,8,
level_99,8,15,120,80,8,
level_100,8,15,120,80,8,
